,student_id,minutes_watched,paid_in_q2
315,155973,635.01,0
316,11002,42.97,0
317,1132,139.87,0
319,156901,136.39,0
320,158108,0.27,0
321,1667,23.18,0
322,148497,1504.05,0
323,156592,378.28,0
324,148222,1558.0,0
325,157012,114.75,0
326,7631,22.94,0
327,149946,250.33,0
328,156167,880.03,0
329,154460,0.05,0
330,4877,12.6,0
331,148643,116.91,0
332,11748,87.23,0
333,158612,0.52,0
334,156446,415.78,0
335,2256,41.97,0
336,6814,27.43,0
337,145873,1729.74,0
338,157134,163.94,0
339,152249,48.47,0
340,152766,228.57,0
341,148758,34.5,0
342,3080,171.5,0
343,13807,30.33,0
344,4150,4.53,0
345,7217,2.59,0
346,3359,279.32,0
347,153255,1329.46,0
348,154765,99.53,0
349,5739,150.17,0
350,148882,17.4,0
351,148411,274.37,0
352,153091,675.25,0
353,14714,238.1,0
354,157166,589.98,0
355,157232,632.93,0
356,149027,3.8,0
357,148559,921.51,0
358,153558,1870.84,0
359,153478,488.78,0
360,149044,204.06,0
361,157306,63.8,0
362,157360,357.74,0
363,156795,18.32,0
364,149253,22.73,0
365,4898,153.44,0
366,144305,394.14,0
367,1801,3.0,0
368,9478,42.53,0
369,3112,22.42,0
371,2324,2069.84,0
372,3875,517.64,0
373,148886,1881.92,0
374,8057,55.59,0
375,1211,615.1,0
376,8068,111.56,0
377,153974,231.35,0
378,21569,1147.34,0
379,157526,57.03,0
380,4640,293.82,0
381,3647,603.68,0
382,18954,686.16,0
383,151819,67.6,0
384,25359,1120.94,0
385,16473,0.73,0
386,155494,194.11,0
387,4927,39.96,0
388,157536,21.97,0
389,154300,228.61,0
390,19124,502.43,0
391,153953,989.88,0
392,154320,274.71,0
393,157465,234.17,0
394,154143,211.2,0
395,154181,1424.2,0
396,157600,120.0,0
397,149636,95.58,0
398,157686,41.13,0
399,157722,194.05,0
400,18678,174.03,0
401,157786,178.01,0
402,15472,152.05,0
403,154491,523.1,0
404,12246,1.45,0
405,149951,275.84,0
406,152969,398.14,0
407,147992,26.57,0
408,147259,0.35,0
409,148103,321.17,0
410,71149,1055.76,0
411,154821,1104.74,0
412,157816,903.9,0
413,147005,340.09,0
414,148628,160.75,0
415,14765,1031.18,0
416,5644,0.07,0
417,157905,413.44,0
418,156921,12.45,0
419,149123,49.17,0
420,155035,351.16,0
421,155096,309.78,0
422,155034,1058.54,0
423,152138,11.35,0
424,5717,327.32,0
425,147460,71.88,0
426,155744,141.74,0
