,student_id,minutes_watched,paid_in_q2
101,4558,163.42,0
102,11124,50.77,0
103,4566,4.2,0
104,2663,15.28,0
105,14463,11.55,0
106,1200,329.41,0
107,1355,18.06,0
108,2506,14.18,0
109,11325,10.42,0
110,3817,1140.05,0
111,8018,432.52,0
112,1605,25.0,0
113,1437,47.1,0
114,9188,11.93,0
115,3511,7.48,0
116,2274,3.72,0
117,8840,417.15,0
118,2555,665.94,0
119,23727,245.12,0
120,2014,114.67,0
121,13114,18.5,0
122,12820,116.7,0
123,5143,43.4,0
124,25521,5.82,0
125,8425,7.86,0
126,6408,267.66,0
127,15743,87.13,0
128,8156,8.92,0
129,8059,114.1,0
130,4778,36.94,0
131,1977,748.12,0
132,3297,3.38,0
133,10390,1.05,0
134,24006,27.63,0
135,616,116.02,0
136,5683,20.3,0
137,1016,20.15,0
138,17859,16.1,0
139,13132,34.1,0
140,5427,12.93,0
141,4829,137.69,0
142,4784,296.6,0
143,5579,2.08,0
144,2091,397.03,0
145,5076,5.58,0
146,18314,2.1,0
147,10685,74.86,0
148,4298,3.77,0
149,12330,71.55,0
150,7382,49.61,0
151,1780,0.65,0
152,5010,617.9,0
153,5774,249.23,0
154,2324,8.58,0
155,3080,77.47,0
156,3522,1.37,0
157,9409,791.6,0
158,4078,0.9,0
159,3146,0.35,0
160,4435,1.37,0
161,917,5.67,0
162,8095,79.65,0
163,3074,1.12,0
164,4640,292.99,0
165,7620,41.42,0
166,17613,223.83,0
167,15472,240.03,0
168,1215,3.03,0
169,4723,596.71,0
170,2764,2.67,0
171,13620,143.86,0
172,1357,0.12,0
173,4266,121.1,0
174,12284,423.01,0
175,13538,140.21,0
176,7474,2.72,0
177,11808,36.42,0
178,9372,301.91,0
179,3984,30.34,0
180,14700,1325.42,0
181,14765,1.37,0
182,1102,271.3,0
183,8754,249.37,0
184,10218,0.08,0
185,1404,29.73,0
186,4872,242.51,0
187,1221,227.29,0
188,4884,33.26,0
189,3524,58.79,0
190,999,384.21,0
191,12816,31.71,0
192,1188,13.02,0
193,13180,107.44,0
194,2110,4.31,0
195,5221,23.65,0
196,5323,167.9,0
197,8495,312.5,0
198,1863,38.16,0
199,1468,88.63,0
200,1688,11.37,0
201,12532,481.91,0
202,5389,46.5,0
203,3652,20.87,0
204,2188,11.88,0
205,4231,59.11,0
206,908,0.92,0
207,1669,52.38,0
208,6096,21.1,0
209,8594,1450.44,0
210,2266,10.27,0
211,7873,187.06,0
212,142965,12.49,0
213,2824,18.72,0
214,8223,12.22,0
215,2866,6.48,0
216,11402,0.12,0
217,1426,17.78,0
218,3256,360.45,0
219,2954,163.11,0
220,6159,253.13,0
221,7975,506.96,0
222,2055,20.11,0
223,2218,50.65,0
224,2734,202.7,0
225,9808,147.11,0
226,1914,20.5,0
227,911,39.35,0
228,9107,496.02,0
